YEAR,PB,QB,EB,PW,QW,EW,PS,QS,ES,TCE,CPI
1955,54,80.5,10.42,54.42,3.35,1.67,60.1,1.475,4.24,258.5,60.33
1956,55.17,80.8,10.69,55.44,3.35,1.7,60.17,1.575,4.53,271.2,62.92
1957,57.58,81,11.18,55.78,3.58,1.83,60.22,1.6,4.61,284.9,64.94
1958,58.41,78.4,10.98,57.09,3.52,1.84,61.28,1.625,4.76,299.4,66.79
1959,54.18,82.1,10.66,55.43,3.87,1.96,61.59,1.725,5.08,313.7,67.16
1960,52.97,85.1,10.81,59.18,3.98,2.12,61.5,1.85,5.44,326.8,67.9
1961,57.92,85.1,11.82,62.73,4.09,2.35,67.26,1.925,6.19,341,69.74
1962,61.25,87.8,12.89,63.59,4.03,2.35,70.42,1.95,6.57,358.3,72.51
1963,63.74,87.5,13.37,74.6,4.37,2.98,67.52,2.05,6.62,379,73.99
1964,67.17,91.1,14.67,82.94,4.66,3.54,71.64,2.2,7.54,401.9,76.38
1965,74.23,91.2,16.23,84.98,4.66,3.62,78.81,2.05,7.73,425.2,79.89
1966,78.74,92.2,17.4,88.6,5.01,4.06,83.53,2.075,8.29,447.7,83.03
1967,82.62,93.8,18.58,85.55,5.74,4.49,86.35,2.075,8.57,467.7,85.24
1968,85.03,94.8,19.32,96.07,5.85,5.14,91.41,2.15,9.4,501.3,89.3
1969,91.8,98.4,21.65,103.54,5.86,5.55,98.01,2,9.38,529.6,94.1
1970,100,101.6,24.36,100,6.54,5.99,100,2.3,11,574,100
1971,108.03,105.4,27.3,110.05,7.05,7.1,103.32,2.425,11.98,639.5,109.41
1972,115,107.5,29.64,117.05,7.84,8.4,104.39,2.775,13.86,720.8,117.34
1973,119.62,112.1,32.15,124.7,9.54,10.89,106.7,3.5,17.86,818.6,128.04
1974,134.31,114.4,36.83,150.89,9.26,12.79,108.66,3.85,20.01,943.9,148.52
1975,168.6,117.6,47.53,172.81,9.38,14.84,135.81,3.675,23.87,1162.3,184.5
1976,202.05,118.9,57.59,182.37,10.51,17.54,133.64,4.15,26.53,1348.9,215.16
1977,230.98,117.3,64.95,213.42,10.27,20.06,186.34,3.533,31.49,1542.9,249.1
1978,244.52,120.7,70.75,223.34,11.41,23.32,174.67,4.26,35.59,1778.1,269.68
1979,279.33,121.4,81.3,261.22,12.2,29.17,194.52,4.691,43.64,2106.2,306.14
1980,338.84,116.3,94.47,308.08,12.06,34.01,228.37,4.422,48.3,2436.9,361.01
1981,399.8,110.5,105.91,341.21,12.91,40.32,257.37,4.19,51.58,2705.7,403.97
1982,441.81,108.1,114.49,356.83,13.86,45.26,281.87,3.954,53.31,2970.8,438.63
1983,478.39,110.4,126.61,373.27,15.28,52.2,300.28,4.062,58.34,3243.8,458.84
1984,519.67,109.9,136.91,381.47,16.2,56.56,321.06,4.036,61.98,3464.6,481.59
1985,570.95,108.6,148.65,408.97,16.52,61.84,332.62,4.292,68.28,3765.7,510.83
