date,AAR,AAR t-value,AAR p-value,CAAR,CAAR t-value,CAAR p-value
2020-06-26,-0.0044,-0.4339,0.6654,-0.0044,-0.0779,0.9381
2020-06-29,0.0101,1.0035,0.3183,0.0058,0.1023,0.9187
2020-06-30,-0.0004,-0.0421,0.9665,0.0053,0.0948,0.9247
2020-07-01,-0.0034,-0.3345,0.7388,0.002,0.0347,0.9724
2020-07-02,-0.0012,-0.1209,0.9041,0.0007,0.013,0.9897
2020-07-07,-0.0019,-0.1858,0.853,-0.0011,-0.0204,0.9838
2020-07-08,0.0016,0.156,0.8764,0.0004,0.0076,0.9939
2020-07-09,-0.0087,-0.8602,0.392,-0.0083,-0.1469,0.8836
2020-07-10,0.0131,1.2934,0.1992,0.0048,0.0854,0.9321
2020-07-13,-0.0089,-0.8835,0.3794,-0.0041,-0.0732,0.9418
2020-07-14,0.0179,1.7664,0.0807,0.0137,0.244,0.8078
2020-07-15,-0.0104,-1.0319,0.3049,0.0033,0.0587,0.9533
2020-07-16,0.0159,1.5734,0.1192,0.0192,0.3413,0.7337
2020-07-17,-0.0116,-1.1436,0.2559,0.0076,0.1359,0.8922
2020-07-20,-0.0051,-0.501,0.6176,0.0026,0.0459,0.9635
2020-07-21,-0.0024,-0.2332,0.8161,0.0002,0.004,0.9968
2020-07-22,0.0028,0.2761,0.7831,0.003,0.0536,0.9574
2020-07-23,-0.0089,-0.8766,0.3831,-0.0058,-0.1038,0.9175
2020-07-24,0.014,1.3866,0.169,0.0082,0.1452,0.8849
2020-07-27,-0.0134,-1.3246,0.1887,-0.0052,-0.0927,0.9263
